exp,,,,Error types,,,,,,pass rate by program length (short -> long),,,,,,,
Python - Java 158 programs,Pass@1(n=20),Pass@5(n=20),Pass@10(n=20),type_error,undeclared_error,other_syntax_error,assertion_error,runtime_error,unhelpful,pass (1st qt),pass (2nd qt),pass (3rd qt),pass (4th qt),Pass,src_lang,tgt_lang,shots
baseline (0 shot),0.76,0.814,0.831,0.006,0.057,0.025,0.146,0.013,0,0.8,0.85,0.763,0.615,0.649,py,java,0
baseline (0 shot) (alt prompt),0.649,0.737,0.777,0.032,0.057,0.152,0.114,0.006,,0.65,0.75,0.605,0.55,0.649,py,java,0
summary -> translation,,,,0.006,0.019,0.013,0.101,0.06,,0.875,0.923,0.821,0.8,0.854,py,java,0
baseline (1 shot),0.821,0.867,0.884,0.006,0.006,0.013,0.139,0.019,0,0.875,0.9,0.711,0.775,0.821,py,java,1
align (1 shot),,,,0,0.038,0.051,0.101,0.013,0,0.875,0.872,0.774,0.7,0.797,py,java,
"w/ NL + test (src-yes, tgt-reworded)",,,,0,0.051,0.019,0.127,0.032,,0.85,0.872,0.667,0.7,0.772,py,java,
w/ inline comments (4 shot comments),,,,0.019,0.082,0.019,0.089,0.032,,0.775,0.769,0.795,0.7,0.759,py,java,
inline comments -> translation,,,,0.019,0.051,0.038,0.114,0.019,0,0.875,0.821,0.744,0.6,0.759,py,java,
steps -> translation,,,,0.013,0.038,0.025,0.108,0.019,,0.825,0.872,0.744,0.75,0.797,py,java,
steps (specific) -> translation,,,,0.006,0.025,0.025,0.114,0.006,,0.925,0.872,0.795,0.7,0.823,py,java,
steps-nl -> translation,,,,0.013,0.025,0.044,0.12,0,0,0.85,0.897,0.718,0.725,0.797,py,java,
steps-w-code -> translation,,,,0.044,0.019,0.044,0.133,0.006,0,0.825,0.821,0.718,0.65,0.753,py,java,
latex (algorithmic) -> translation,,,,0.013,0.032,0.006,0.127,0.019,,0.875,0.872,0.718,0.75,0.804,py,java,
latex (algorithm) -> translation,,,,0.006,0.038,0.006,0.089,0,,0.9,0.923,0.769,0.85,0.861,py,java,
steps -> latex -> translation,,,,0.006,0.032,0.025,0.127,0.013,0,0.825,0.923,0.744,0.7,0.797,py,java,
gold summary -> translation,,,,0.013,0.006,0.026,0.123,0.019,,0.8,0.872,0.73,0.846,0.813,py,java,0
explain -> translation,0.829,0.875,0.886,0.006,0.032,0.019,0.114,0.013,0,0.875,0.897,0.718,0.775,0.829,py,java,0
explain -> translation (java),0.829,0.875,0.886,,,,,,,,,,,,py,java,0
explain (0 shot) -> translation (coder-reviewer),0.854,0.876,0.883,0.006,0.018,0.007,0.112,0.3,0,0.931,0.904,,,,py,java,0
explain (trial 2) -> translation,0.834,0.867,,,,,,,,,,,,,py,java,
explain (trial 3) -> translation,0.808,0.842,,,,,,,,,,,,,py,java,
explain (trial 4) -> translation,0.814,0.842,,,,,,,,,,,,,py,java,
explain (1shot) -> translation,0.825,0.859,0.868,0.013,0,0,0.14,0.019,0,,,,,0.825,py,java,
summary -> steps -> translation,,,,0.025,0.013,0.025,0.108,0.032,0,0.875,0.897,0.718,0.7,0.797,py,java,
summary (python) -> summary (C++) -> translation,,,,,,,,,,,,,,,py,java,
summary -> latex -> translation,,,,,,,,,,,,,,,py,java,
summary -> steps -> latex -> translation,,,,,,,,,,,,,,,py,java,
summary LLM -> translation ,,,,0.006,0.013,0.006,0.177,0.006,0.032,,,,,0.759,py,java,
rewrite -> translation,,,,0.019,0.032,0.006,0.146,0.013,,0.8,0.846,0.744,0.75,0.785,py,java,
c++ -> translation,,,,0.063,0.07,0.025,0.139,0.013,,0.75,0.769,0.641,0.6,0.69,py,java,0
c++ (specific) -> translation,,,,0.013,0.07,0.038,0.127,0.019,,0.775,0.825,0.711,0.615,0.732,py,java,0
bash (specific) -> translation,,,,0,0.032,0.038,0.095,0.025,,0.875,0.872,0.744,0.75,0.81,py,java,0
