Model,Resource,Typing,src-tgt,Direct,Best Exp,Absolute Improvement,Relative Improvement
ChatGPT,High-to-High,D-D,Python - JavaScript,85.5,85.7,0.2,0.2
ChatGPT,High-to-High,D-T,JavaScript - Java,77,83.5,6.5,8.4
ChatGPT,High-to-High,T-D,C++ - Python,92.3,91.3,-1,-1.1
ChatGPT,High-to-High,T-T,Java - C++,77,83,6,7.8
ChatGPT,High-to-ExtLow,D-D,JavaScript - Racket,30.2,41.9,11.7,38.7
ChatGPT,High-to-ExtLow,D-T,Python - D,42,44.4,2.4,5.7
ChatGPT,High-to-ExtLow,T-D,C++ - Lua,69.2,75,5.8,8.4
ChatGPT,High-to-ExtLow,T-T,Java - Julia,60.2,75.4,15.2,25.2
ChatGPT,ExtLow-to-High,D-D,Lua - Python,89.5,86.5,-3,-3.4
ChatGPT,ExtLow-to-High,D-T,Racket - Java,65.9,77.1,11.2,17
ChatGPT,ExtLow-to-High,T-D,Julia - JavaScript,83.1,83.5,0.4,0.5
ChatGPT,ExtLow-to-High,T-T,D - C++,88.4,85,-3.4,-3.8
ChatGPT,ExtLow-to-ExtLow,D-D,Lua - Racket,29.6,45.2,15.6,52.7
ChatGPT,ExtLow-to-ExtLow,D-T,Racket - Julia,63.3,67.7,4.4,7
ChatGPT,ExtLow-to-ExtLow,T-D,D - Lua,68.4,69.9,1.5,2.2
ChatGPT,ExtLow-to-ExtLow,T-T,Julia - D,41.6,43.6,2,4.8
CodeGen2-1B,High-to-High,D-D,Python - JavaScript,4.6,14.9,10.3,223.9
CodeGen2-1B,High-to-High,D-T,JavaScript - Java,7.8,11.2,3.4,43.6
CodeGen2-1B,High-to-High,T-D,C++ - Python,8.3,13.9,5.6,67.5
CodeGen2-1B,High-to-High,T-T,Java - C++,14.2,15.9,1.7,12
CodeGen2-1B,High-to-ExtLow,D-D,JavaScript - Racket,0,0,0,0
CodeGen2-1B,High-to-ExtLow,D-T,Python - D,6.2,7.9,1.7,27.4
CodeGen2-1B,High-to-ExtLow,T-D,C++ - Lua,8.9,11.8,2.9,32.6
CodeGen2-1B,High-to-ExtLow,T-T,Java - Julia,3.2,4.9,1.7,53.1
CodeGen2-1B,ExtLow-to-High,D-D,Lua - Python,1.9,6,4.1,215.8
CodeGen2-1B,ExtLow-to-High,D-T,Racket - Java,7.9,8.1,0.2,2.5
CodeGen2-1B,ExtLow-to-High,T-D,Julia - JavaScript,3.7,6.9,3.2,86.5
CodeGen2-1B,ExtLow-to-High,T-T,D - C++,11.7,14.1,2.4,20.5
CodeGen2-1B,ExtLow-to-ExtLow,D-D,Lua - Racket,0,0,0,0
CodeGen2-1B,ExtLow-to-ExtLow,D-T,Racket - Julia,2,2.1,0.1,5
CodeGen2-1B,ExtLow-to-ExtLow,T-D,D - Lua,7.7,8.2,0.5,6.5
CodeGen2-1B,ExtLow-to-ExtLow,T-T,Julia - D,0,0.007,0.007,0
CodeGen2-16B,High-to-High,D-D,Python - JavaScript,48.4,45.1,-3.3,-6.8
CodeGen2-16B,High-to-High,D-T,JavaScript - Java,47.3,44.3,-3,-6.3
CodeGen2-16B,High-to-High,T-D,C++ - Python,38,57.2,19.2,50.5
CodeGen2-16B,High-to-High,T-T,Java - C++,52.7,0,-52.7,-100
CodeGen2-16B,High-to-ExtLow,D-D,JavaScript - Racket,2,2.1,0.1,5
CodeGen2-16B,High-to-ExtLow,D-T,Python - D,11.7,15.8,4.1,35
CodeGen2-16B,High-to-ExtLow,T-D,C++ - Lua,33.6,35.2,1.6,4.8
CodeGen2-16B,High-to-ExtLow,T-T,Java - Julia,26.4,27.9,1.5,5.7
CodeGen2-16B,ExtLow-to-High,D-D,Lua - Python,37.6,47.8,10.2,27.1
CodeGen2-16B,ExtLow-to-High,D-T,Racket - Java,28.4,27.8,-0.6,-2.1
CodeGen2-16B,ExtLow-to-High,T-D,Julia - JavaScript,40.1,40,-0.1,-0.2
CodeGen2-16B,ExtLow-to-High,T-T,D - C++,53.1,50.4,-2.7,-5.1
CodeGen2-16B,ExtLow-to-ExtLow,D-D,Lua - Racket,0.8,1,0.2,25
CodeGen2-16B,ExtLow-to-ExtLow,D-T,Racket - Julia,13.1,14.6,1.5,11.5
CodeGen2-16B,ExtLow-to-ExtLow,T-D,D - Lua,29.3,28.9,-0.4,-1.4
CodeGen2-16B,ExtLow-to-ExtLow,T-T,Julia - D,10.1,7.8,-2.3,-22.8
Llama2CodeInstruct-34B,High-to-High,D-D,Python - JavaScript,64,69.9,5.9,9.2
Llama2CodeInstruct-34B,High-to-High,D-T,JavaScript - Java,67.1,70.4,3.3,4.9
Llama2CodeInstruct-34B,High-to-High,T-D,C++ - Python,84.4,86.1,1.7,2
Llama2CodeInstruct-34B,High-to-High,T-T,Java - C++,43.3,60.3,17,39.3
Llama2CodeInstruct-34B,High-to-ExtLow,D-D,JavaScript - Racket,21.3,26.6,5.3,24.9
Llama2CodeInstruct-34B,High-to-ExtLow,D-T,Python - D,26.5,28.2,1.7,6.4
Llama2CodeInstruct-34B,High-to-ExtLow,T-D,C++ - Lua,34.8,43,8.2,23.6
Llama2CodeInstruct-34B,High-to-ExtLow,T-T,Java - Julia,51.5,62.2,10.7,20.8
Llama2CodeInstruct-34B,ExtLow-to-High,D-D,Lua - Python,55.1,70.9,15.8,28.7
Llama2CodeInstruct-34B,ExtLow-to-High,D-T,Racket - Java,61.2,59.4,-1.8,-2.9
Llama2CodeInstruct-34B,ExtLow-to-High,T-D,Julia - JavaScript,55.1,68.8,13.7,24.9
Llama2CodeInstruct-34B,ExtLow-to-High,T-T,D - C++,55,65.3,10.3,18.7
Llama2CodeInstruct-34B,ExtLow-to-ExtLow,D-D,Lua - Racket,18.7,23.5,4.8,25.7
Llama2CodeInstruct-34B,ExtLow-to-ExtLow,D-T,Racket - Julia,52.4,58.3,5.9,11.3
Llama2CodeInstruct-34B,ExtLow-to-ExtLow,T-D,D - Lua,27.6,35.3,7.7,27.9
Llama2CodeInstruct-34B,ExtLow-to-ExtLow,T-T,Julia - D,24.9,28.3,3.4,13.7
