shots,exp,src_lang,tgt_lang,num_probs,Pass@1(n=20),Pass@5(n=20),Pass@10(n=20),type_error,undeclared_error,other_syntax_error,assertion_error,runtime_error,unhelpful,25,50,75,100
0,baseline,d,lua,116,0.077,0.101,0.111,0.0021551724137931034,0.0814655172413793,0.6387931034482757,0.2004310344827586,0.0,0.0,0.26333333333333336,0.037500000000000026,3.828355257328126e-17,3.828355257328126e-18
0,exp-lbl-d,d,lua,116,0.072,0.089,0.095,0.009051724137931037,0.08922413793103448,0.6034482758620691,0.22629310344827588,0.0,0.0,0.265,3.568574007723718e-17,3.062684205862501e-17,0.013793103448275864
0,exp,d,lua,116,0.082,0.107,0.117,0.0038793103448275866,0.04698275862068966,0.6038793103448277,0.2633620689655172,0.0,0.0,0.26666666666666666,0.032142857142857154,2.2970131543968756e-17,0.02068965517241381
0,exp-lbl,d,lua,116,0.063,0.083,0.09,0.0060344827586206904,0.06508620689655173,0.609051724137931,0.256896551724138,0.0,0.0,0.21333333333333335,0.0267857142857143,1.5313421029312504e-17,0.005172413793103449
4,baseline,py,d,2,0.2,0.474,0.5,0.025000000000000022,0.025000000000000022,0.575,0.17500000000000004,0.0,0.0,0.3999999999999999,0.0,0.0,0.0
0,exp,py,d,156,0.079,0.1,0.106,0.0358974358974359,0.29647435897435903,0.39134615384615407,0.18205128205128207,0.015384615384615384,0.0,0.16282051282051285,0.12375,0.02500000000000003,0.0012820512820512946
0,exp-lbl-d,py,d,156,0.059,0.082,0.091,0.04230769230769232,0.27403846153846156,0.46153846153846134,0.1541666666666667,0.009294871794871797,0.0,0.14102564102564105,0.06875000000000002,0.023684210526315846,1.9927079929169476e-17
0,baseline,py,d,156,0.062,0.082,0.089,0.04775641025641026,0.28141025641025647,0.466025641025641,0.13525641025641022,0.007692307692307694,0.0,0.14358974358974358,0.08000000000000003,0.021052631578947385,0.0012820512820513146
0,exp-lbl,py,d,156,0.073,0.105,0.112,0.033974358974358965,0.26185897435897443,0.4429487179487178,0.17147435897435903,0.016666666666666666,0.0,0.14102564102564102,0.11625000000000003,0.03157894736842108,0.001282051282051289
0,exp-lbl-d,py,sh,158,0.046,0.113,0.153,0.0,0.004113924050632913,0.4848101265822785,0.47088607594936704,0.0,0.0,0.06875000000000005,0.02820512820512824,0.03333333333333337,0.030000000000000047
0,exp-lbl,py,sh,158,0.046,0.121,0.16,0.0,0.00727848101265823,0.498101265822785,0.454746835443038,0.0,0.0,0.06500000000000002,0.010256410256410272,0.02820512820512821,0.05500000000000003
0,baseline,py,sh,158,0.057,0.125,0.156,0.0,0.0075949367088607635,0.5917721518987342,0.355379746835443,0.0,0.0,0.08500000000000003,0.026923076923076952,0.021794871794871832,0.04625000000000001
0,exp,py,sh,158,0.048,0.11,0.145,0.0,0.004430379746835444,0.45632911392405034,0.5015822784810128,0.0,0.0,0.075,0.010256410256410296,0.02948717948717955,0.035000000000000045
0,exp-lbl,cpp,py,149,0.135,0.18,0.2,0.0,0.0,0.461744966442953,0.40369127516778525,0.0,0.0,0.3657894736842106,0.13783783783783787,0.027631578947368462,1.850371707708594e-17
0,exp-lbl-d,cpp,py,149,0.125,0.183,0.211,0.0,0.0,0.5063758389261747,0.36845637583892615,0.0,0.0,0.4171052631578947,0.06891891891891894,0.006578947368421094,2.7755575615628914e-17
0,exp,cpp,py,149,0.139,0.171,0.191,0.0,0.0,0.4852348993288588,0.37583892617449666,0.0,0.0,0.40921052631578947,0.11621621621621621,0.022368421052631614,9.25185853854297e-18
0,baseline,cpp,py,149,0.083,0.116,0.133,0.0,0.0,0.6496644295302016,0.2677852348993289,0.0,0.0,0.27631578947368424,0.048648648648648665,4.966787215428332e-17,3.0839528461809905e-17
4,baseline,cpp,py,84,0.099,0.134,0.145,0.0,0.0,0.6065476190476191,0.29404761904761906,0.0,0.0,0.29999999999999993,0.09285714285714286,0.004761904761904793,2.114710523095536e-17
0,exp-lbl,lua,py,145,0.059,0.07,0.075,0.0,0.0,0.8110344827586208,0.12999999999999998,0.0,0.0,0.19864864864864867,0.03333333333333334,2.7755575615628914e-17,1.2335811384723961e-17
0,exp-lbl-d,lua,py,145,0.056,0.071,0.076,0.0,0.0,0.7989655172413793,0.14551724137931035,0.0,0.0,0.20810810810810812,0.009722222222222228,3.0839528461809902e-18,3.0839528461809902e-18
0,exp,lua,py,145,0.06,0.07,0.076,0.0,0.0,0.7996551724137931,0.14,0.0,0.0,0.2310810810810811,0.00555555555555556,3.0839528461809905e-17,2.1587669923266933e-17
0,baseline,lua,py,145,0.019,0.03,0.034,0.0,0.0,0.9062068965517242,0.07517241379310345,0.0,0.0,0.07297297297297298,0.0,1.2335811384723961e-17,0.0
4,baseline,lua,py,2,0.3,0.498,0.5,0.0,0.0,0.7,0.0,0.0,0.0,0.6,0.0,0.0,0.0
0,exp,py,rb,161,0.059,0.08,0.089,0.0,0.02950310559006212,0.7534161490683231,0.15465838509316773,0.0031055900621118028,0.0,0.20487804878048776,0.02875000000000002,8.326672684688674e-18,1.3877787807814457e-17
0,exp-lbl,py,rb,161,0.049,0.058,0.062,0.0,0.016459627329192553,0.7614906832298141,0.1692546583850932,0.0040372670807453425,0.0,0.1597560975609756,0.02375000000000002,0.008750000000000027,2.7755575615628915e-18
0,exp-lbl-d,py,rb,161,0.038,0.056,0.065,0.0,0.023602484472049687,0.7658385093167702,0.17142857142857146,0.0015527950310559014,0.0,0.13780487804878053,0.0075000000000000205,0.0025000000000000217,5.551115123125783e-18
0,baseline,py,rb,161,0.0,0.0,0.0,0.0,0.0,0.9931677018633541,0.006832298136645963,0.0,0.0,0.0,0.0,2.7755575615628915e-18,0.0
0,exp-lbl,py,scala,160,0.046,0.082,0.098,0.28906250000000006,0.3553125,0.09062500000000004,0.20031250000000003,0.0190625,0.0,0.13749999999999998,0.04125000000000002,0.003749999999999987,1.6653345369377347e-17
0,exp,py,scala,160,0.058,0.102,0.125,0.2678124999999999,0.35812500000000014,0.069375,0.22375000000000006,0.022500000000000003,0.0,0.11749999999999998,0.09625000000000003,0.020000000000000007,3.8857805861880476e-17
0,exp-lbl-d,py,scala,160,0.047,0.083,0.102,0.2868749999999997,0.3440625000000001,0.081875,0.21312500000000015,0.027187499999999996,0.0,0.11125,0.07125000000000004,0.003750000000000017,0.0012500000000000206
0,baseline,py,scala,160,0.026,0.064,0.087,0.26593750000000005,0.47812499999999974,0.10781250000000005,0.0975,0.024687499999999998,0.0,0.07875000000000001,0.022500000000000023,0.0025000000000000135,1.3877787807814457e-17
0,exp-lbl-d,py,swift,161,0.074,0.116,0.135,0.060559006211180114,0.33322981366459614,0.2723602484472049,0.2602484472049689,0.0,0.0,0.16097560975609757,0.09625000000000002,0.012500000000000035,0.02250000000000004
0,baseline,py,swift,161,0.035,0.05,0.055,0.03975155279503105,0.3236024844720496,0.4562111801242236,0.14534161490683226,0.0,0.0,0.10975609756097561,0.01000000000000002,5.2735593669694933e-17,0.01875000000000003
0,exp,py,swift,161,0.069,0.106,0.119,0.0732919254658385,0.3282608695652174,0.27484472049689435,0.2546583850931677,0.0,0.0,0.13048780487804879,0.10375000000000001,0.015000000000000038,0.025000000000000012
0,exp-lbl,py,swift,161,0.072,0.123,0.143,0.08322981366459628,0.3021739130434782,0.30993788819875784,0.2329192546583851,0.0,0.0,0.17195121951219514,0.08499999999999999,0.015000000000000038,0.012500000000000028
0,exp-lbl-d,py,ts,159,0.105,0.129,0.137,0.02389937106918239,0.0,0.5377358490566038,0.33301886792452845,0.0,0.0,0.28125,0.0825,0.05641025641025642,-5.551115123125783e-18
0,baseline,py,ts,159,0.07,0.092,0.099,0.040566037735849055,0.0,0.6204402515723272,0.26918238993710675,0.0,0.0,0.25375000000000003,0.01750000000000001,0.006410256410256427,4.163336342344337e-17
0,exp-lbl,py,ts,159,0.096,0.128,0.135,0.027358490566037733,0.0,0.5581761006289307,0.3188679245283018,0.0,0.0,0.23875000000000002,0.08250000000000002,0.05128205128205133,0.00875000000000003
0,exp,py,ts,159,0.135,0.164,0.172,0.04465408805031446,0.0,0.4641509433962264,0.3566037735849055,0.0,0.0,0.3125,0.12875000000000003,0.07051282051282053,0.02500000000000003
0,baseline,py,cpp,161,0.094,0.126,0.138,0.001242236024844721,0.1332298136645963,0.2633540372670809,0.5043478260869564,0.003726708074534164,0.0,0.2207317073170732,0.09125000000000004,0.06125000000000003,-1.3877787807814457e-17
0,exp-lbl,py,cpp,161,0.107,0.15,0.175,0.0006211180124223608,0.08322981366459628,0.22608695652173913,0.5807453416149073,0.0021739130434782613,0.0,0.2329268292682927,0.11374999999999999,0.07875000000000003,3.8857805861880476e-17
0,exp,py,cpp,161,0.117,0.161,0.182,0.0006211180124223602,0.08385093167701865,0.20496894409937888,0.5925465838509318,0.0009316770186335405,0.0,0.2792682926829268,0.12000000000000002,0.06500000000000002,4.4408920985006264e-17
0,exp-lbl-d,py,cpp,161,0.117,0.153,0.17,0.0,0.09689440993788821,0.18385093167701871,0.6003105590062112,0.0018633540372670818,0.0,0.2536585365853659,0.13875,0.07250000000000001,5.828670879282072e-17
0,exp-lbl-d,java,cpp,155,0.159,0.182,0.187,0.0,0.5009677419354839,0.10354838709677422,0.23516129032258062,0.0009677419354838711,0.0,0.2794871794871795,0.25384615384615383,0.08026315789473684,0.02179487179487181
0,exp-lbl,java,cpp,155,0.147,0.171,0.182,0.0,0.506451612903226,0.10645161290322583,0.2374193548387096,0.0025806451612903234,0.0,0.25897435897435894,0.24102564102564109,0.0855263157894737,0.0012820512820512918
0,baseline,java,cpp,155,0.142,0.165,0.171,0.0003225806451612906,0.5845161290322581,0.09225806451612907,0.18000000000000008,0.0009677419354838711,0.0,0.2512820512820513,0.2217948717948718,0.08421052631578949,0.008974358974359
0,exp,java,cpp,155,0.156,0.175,0.177,0.0006451612903225805,0.5245161290322581,0.09032258064516129,0.2270967741935484,0.0012903225806451617,0.0,0.27692307692307694,0.25,0.0723684210526316,0.023076923076923092
0,baseline,py,jl,159,0.024,0.035,0.038,0.07201257861635221,0.011635220125786164,0.8103773584905661,0.08207547169811322,0.0,0.0,0.09500000000000001,2.7755575615628915e-18,1.9927079929169476e-17,2.4980018054066023e-17
0,exp-lbl-d,py,jl,159,0.03,0.051,0.058,0.0908805031446541,0.01918238993710692,0.7849056603773586,0.0751572327044025,0.0,0.0,0.11374999999999999,0.005000000000000027,1.708035422500241e-17,3.053113317719181e-17
0,exp,py,jl,159,0.029,0.038,0.043,0.11194968553459124,0.03113207547169811,0.7327044025157232,0.09465408805031449,0.0006289308176100634,0.0,0.11375000000000002,0.0012500000000000122,-2.846725704167068e-18,1.6653345369377347e-17
0,exp-lbl,py,jl,159,0.033,0.048,0.05,0.09150943396226416,0.017610062893081764,0.7701257861635222,0.08742138364779875,0.0,0.0,0.11125,0.021250000000000005,1.1386902816668272e-17,0.0
0,baseline,jl,d,137,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,exp-lbl,jl,d,137,0.0,0.0,0.0,0.00036496350364963534,0.0,0.9981751824817519,0.001094890510948906,0.00036496350364963534,0.0,0.0,0.0,0.0,0.0
0,exp,jl,d,137,0.007,0.007,0.007,0.0,0.0010948905109489052,0.9923357664233576,0.0,0.0,0.0,0.025714285714285714,0.0,0.0,0.0
