shots,exp,src_lang,tgt_lang,num_probs,Pass@1(n=20),Pass@5(n=20),Pass@10(n=20),type_error,undeclared_error,other_syntax_error,assertion_error,runtime_error,unhelpful,25,50,75,100
0,exp,py,d,155,0.072,0.098,0.107,0.043225806451612885,0.24645161290322581,0.49516129032258066,0.12967741935483873,0.013225806451612905,0.0,0.14487179487179486,0.11025641025641028,0.028947368421052635,0.0038461538461538668
0,exp-lbl-d,py,d,156,0.078,0.104,0.112,0.03653846153846152,0.22916666666666657,0.5214743589743591,0.1301282051282051,0.004807692307692309,0.0,0.16025641025641027,0.12625,0.018421052631578987,0.0038461538461538694
0,exp-lbl,py,d,156,0.085,0.107,0.112,0.02820512820512821,0.2208333333333334,0.5487179487179488,0.11121794871794873,0.00641025641025641,0.0,0.16153846153846155,0.14625,0.027631578947368427,2.5620531337503614e-17
0,exp-lbl-d,py,sh,158,0.079,0.165,0.199,0.0,0.007911392405063293,0.6759493670886075,0.25727848101265827,0.0,0.0,0.09750000000000003,0.05128205128205133,0.04487179487179489,0.04125000000000001
0,exp-lbl,py,sh,158,0.056,0.127,0.167,0.0,0.006645569620253166,0.6759493670886075,0.2781645569620254,0.0,0.0,0.07500000000000002,0.030769230769230792,0.03717948717948721,0.013750000000000035
0,exp,py,sh,158,0.052,0.129,0.169,0.0,0.007594936708860761,0.6800632911392408,0.27468354430379754,0.0,0.0,0.06875000000000003,0.034615384615384666,0.039743589743589776,0.007500000000000057
0,exp,py,rb,161,0.039,0.051,0.059,0.0,0.0040372670807453425,0.9180124223602487,0.03788819875776397,0.0006211180124223608,0.0,0.15243902439024393,2.7755575615628915e-18,2.7755575615628915e-18,0.0025000000000000022
0,exp-lbl,py,rb,161,0.048,0.065,0.074,0.0,0.025465838509316767,0.8189440993788819,0.10652173913043479,0.0009316770186335405,0.0,0.16341463414634147,0.017500000000000016,1.9428902930940238e-17,0.008750000000000004
0,exp-lbl-d,py,rb,161,0.049,0.065,0.072,0.0,0.026086956521739132,0.8090062111801244,0.11335403726708075,0.0024844720496894424,0.0,0.175609756097561,0.0175,2.7755575615628915e-18,1.1102230246251566e-17
0,exp-lbl,py,scala,160,0.065,0.113,0.135,0.2950000000000001,0.37687499999999996,0.07468750000000003,0.16718750000000004,0.020937499999999994,0.0,0.15375,0.09499999999999999,0.012500000000000008,1.9428902930940238e-17
0,exp,py,scala,160,0.07,0.121,0.152,0.22750000000000004,0.4596875000000001,0.08250000000000002,0.14562500000000006,0.014375000000000004,0.0,0.17374999999999996,0.08124999999999999,0.025,0.001250000000000026
0,exp-lbl-d,py,scala,160,0.072,0.138,0.167,0.248125,0.43375,0.0615625,0.17093750000000005,0.013125000000000003,0.0,0.18625,0.09375000000000004,0.008750000000000004,0.0012500000000000232
0,exp-lbl-d,py,swift,161,0.093,0.133,0.153,0.08105590062111803,0.30745341614906835,0.2968944099378883,0.2211180124223602,0.0,0.0,0.20609756097560974,0.11500000000000003,0.03250000000000001,0.017499999999999998
0,exp,py,swift,161,0.104,0.138,0.153,0.08695652173913042,0.2506211180124222,0.3742236024844719,0.18416149068322993,0.0,0.0,0.22682926829268293,0.10500000000000001,0.05875000000000001,0.022500000000000017
0,exp-lbl,py,swift,161,0.098,0.13,0.139,0.06801242236024846,0.36118012422360246,0.295031055900621,0.17732919254658389,0.0,0.0,0.22804878048780491,0.11625,0.022500000000000013,0.023750000000000028
0,exp-lbl-d,py,ts,159,0.132,0.192,0.216,0.0279874213836478,0.0,0.5742138364779876,0.26572327044025157,0.0,0.0,0.2375,0.13625000000000004,0.10384615384615387,0.05000000000000001
0,exp-lbl,py,ts,159,0.117,0.169,0.187,0.02327044025157233,0.0,0.6311320754716979,0.22893081761006293,0.0,0.0,0.28625,0.12000000000000004,0.041025641025641026,0.017500000000000022
0,exp,py,ts,159,0.108,0.154,0.171,0.03962264150943396,0.0,0.5242138364779875,0.32861635220125796,0.0,0.0,0.21625,0.12625000000000003,0.06410256410256415,0.022500000000000034
0,exp-lbl,py,cpp,161,0.14,0.186,0.2,0.0012422360248447203,0.1291925465838509,0.25683229813664593,0.4633540372670809,0.009627329192546583,0.0,0.27317073170731715,0.19374999999999998,0.08875000000000002,4.9960036108132046e-17
0,exp,py,cpp,120,0.155,0.199,0.217,0.0012500000000000011,0.13291666666666668,0.22666666666666674,0.47541666666666654,0.00875,0.0,0.31833333333333336,0.18833333333333338,0.10806451612903224,0.0017241379310345033
0,exp-lbl-d,py,cpp,123,0.152,0.196,0.218,0.0004065040650406508,0.12520325203252033,0.23170731707317072,0.48658536585365847,0.003658536585365855,0.0,0.3016129032258064,0.21451612903225806,0.08225806451612906,0.006666666666666691
0,exp-lbl-d,py,jl,159,0.037,0.05,0.053,0.060377358490566045,0.025786163522012576,0.8235849056603773,0.052830188679245285,0.0,0.0,0.14,0.008750000000000013,2.846725704167068e-18,1.9428902930940238e-17
